ID ,Course,University ,SPM ,O-Level ,UEC,A-Level,STPM,CGPA ,Fees,Duration 
1,Foundation in Interior Architecture and Design ,The One Academy (TOA) ,5C,5C,5B,0,0,0,26800,1 Year
2,Diploma in Interior Design ,The One Academy (TOA) ,3C,3C,3B,0,0,0,89800,3 Years
3,"BA (HONS) Interior Architecture and Design (3 + 0) University of Hertfordshire, UK",The One Academy (TOA) ,,,5B,EE,CC,2,0,3.5 Years
4,Diploma in Digital Animation ,The One Academy (TOA) ,3C,3C ,3B ,0,0,0,105100,3 Years
5,Certificate in Communication Design ,The One Academy (TOA) ,1C,1C,1B,0,0,0,20975,1.5 Years
6,Foundation in Communication Design ,The One Academy (TOA) ,5C,5C,5B,0,0,0,26000,1 Year
7,Diploma in Advertising & Graphic Design ,The One Academy (TOA) ,3C,3C,3B,0,0,0,89800,3 Years
8,"BA (HONS) Graphic Design  (3 + 0) University of Hertfordshire, UK",The One Academy (TOA) ,,,5B,EE,CC,2,111500,3 Years
9,Diploma in Digital Media Design ,The One Academy (TOA) ,3C,3C,3B,0,0,0,84200,3 Years
10,"BA (HONS) Digital Media Design (3 + 0) University of Hertfordshire, UK ",The One Academy (TOA) ,,,5B,EE,CC,2,116000,3 Years
11,Diploma in Illustration ,The One Academy (TOA) ,3C,3C ,3B,0,0,0,91800,3 Years
12,Diploma in Fine Arts ,The One Academy (TOA) ,1C,1C,1B,0,0,0,79000,3 Years
13,Diploma in Fashion Design & Pattern Making ,The One Academy (TOA) ,3C,3C,3B,0,0,0,111000,3 Years
